file,sim_model,N,k,k_split,separation,entropy,p,m
p1m1_c2.out,  p1m1,1000,2,even,ideal ,0.815,  p1,  m1
p1m1_c3.out,  p1m1,1000,3,even,ideal ,0.817,  p1,  m1
p1m1_c4.out,  p1m1,1000,4,even,ideal ,0.816,  p1,  m1
p1m1_c5.out,  p1m1,1000,5,even,ideal ,0.814,  p1,  m1
p1m1_c2.out,  p1m1,200,2,even,ideal ,0.863,  p1,  m1
p1m1_c3.out,  p1m1,200,3,even,ideal ,0.867,  p1,  m1
p1m1_c4.out,  p1m1,200,4,even,ideal ,0.848,  p1,  m1
p1m1_c5.out,  p1m1,200,5,even,ideal ,0.866,  p1,  m1
p1m1_c2.out,  p1m1,500,2,even,ideal ,0.814,  p1,  m1
p1m1_c3.out,  p1m1,500,3,even,ideal ,0.823,  p1,  m1
p1m1_c4.out,  p1m1,500,4,even,ideal ,0.815,  p1,  m1
p1m1_c5.out,  p1m1,500,5,even,ideal ,0.789,  p1,  m1
p1m1_c2.out,  p1m1,5000,2,even,ideal ,0.825,  p1,  m1
p1m1_c3.out,  p1m1,5000,3,even,ideal ,0.813,  p1,  m1
p1m1_c4.out,  p1m1,5000,4,even,ideal ,0.819,  p1,  m1
p1m1_c5.out,  p1m1,5000,5,even,ideal ,0.787,  p1,  m1
p1m1_c2.out,  p1m1,1000,2,uneven,ideal ,0.821,  p1,  m1
p1m1_c3.out,  p1m1,1000,3,uneven,ideal ,0.839,  p1,  m1
p1m1_c4.out,  p1m1,1000,4,uneven,ideal ,0.85,  p1,  m1
p1m1_c5.out,  p1m1,1000,5,uneven,ideal ,0.811,  p1,  m1
p1m1_c2.out,  p1m1,200,2,uneven,ideal ,0.812,  p1,  m1
p1m1_c3.out,  p1m1,200,3,uneven,ideal ,0.864,  p1,  m1
p1m1_c4.out,  p1m1,200,4,uneven,ideal ,0.898,  p1,  m1
p1m1_c5.out,  p1m1,200,5,uneven,ideal ,0.925,  p1,  m1
p1m1_c2.out,  p1m1,500,2,uneven,ideal ,0.829,  p1,  m1
p1m1_c3.out,  p1m1,500,3,uneven,ideal ,0.863,  p1,  m1
p1m1_c4.out,  p1m1,500,4,uneven,ideal ,0.854,  p1,  m1
p1m1_c5.out,  p1m1,500,5,uneven,ideal ,0.776,  p1,  m1
p1m1_c2.out,  p1m1,5000,2,uneven,ideal ,0.822,  p1,  m1
p1m1_c3.out,  p1m1,5000,3,uneven,ideal ,0.843,  p1,  m1
p1m1_c4.out,  p1m1,5000,4,uneven,ideal ,0.835,  p1,  m1
p1m1_c5.out,  p1m1,5000,5,uneven,ideal ,0.728,  p1,  m1
p2m1_c2.out,  p2m1,1000,2,even,ideal ,0.836,  p2,  m1
p2m1_c3.out,  p2m1,1000,3,even,ideal ,0.83,  p2,  m1
p2m1_c4.out,  p2m1,1000,4,even,ideal ,0.831,  p2,  m1
p2m1_c5.out,  p2m1,1000,5,even,ideal ,0.774,  p2,  m1
p2m1_c2.out,  p2m1,200,2,even,ideal ,0.822,  p2,  m1
p2m1_c3.out,  p2m1,200,3,even,ideal ,0.874,  p2,  m1
p2m1_c4.out,  p2m1,200,4,even,ideal ,0.861,  p2,  m1
p2m1_c5.out,  p2m1,200,5,even,ideal ,0.887,  p2,  m1
p2m1_c2.out,  p2m1,500,2,even,ideal ,0.807,  p2,  m1
p2m1_c3.out,  p2m1,500,3,even,ideal ,0.832,  p2,  m1
p2m1_c4.out,  p2m1,500,4,even,ideal ,0.813,  p2,  m1
p2m1_c5.out,  p2m1,500,5,even,ideal ,0.761,  p2,  m1
p2m1_c2.out,  p2m1,5000,2,even,ideal ,0.824,  p2,  m1
p2m1_c3.out,  p2m1,5000,3,even,ideal ,0.822,  p2,  m1
p2m1_c4.out,  p2m1,5000,4,even,ideal ,0.823,  p2,  m1
p2m1_c5.out,  p2m1,5000,5,even,ideal ,0.795,  p2,  m1
p2m1_c2.out,  p2m1,1000,2,uneven,ideal ,0.832,  p2,  m1
p2m1_c3.out,  p2m1,1000,3,uneven,ideal ,0.84,  p2,  m1
p2m1_c4.out,  p2m1,1000,4,uneven,ideal ,0.845,  p2,  m1
p2m1_c5.out,  p2m1,1000,5,uneven,ideal ,0.831,  p2,  m1
p2m1_c2.out,  p2m1,200,2,uneven,ideal ,0.899,  p2,  m1
p2m1_c3.out,  p2m1,200,3,uneven,ideal ,0.889,  p2,  m1
p2m1_c4.out,  p2m1,200,4,uneven,ideal ,0.862,  p2,  m1
p2m1_c5.out,  p2m1,200,5,uneven,ideal ,0.876,  p2,  m1
p2m1_c2.out,  p2m1,500,2,uneven,ideal ,0.818,  p2,  m1
p2m1_c3.out,  p2m1,500,3,uneven,ideal ,0.834,  p2,  m1
p2m1_c4.out,  p2m1,500,4,uneven,ideal ,0.826,  p2,  m1
p2m1_c5.out,  p2m1,500,5,uneven,ideal ,0.766,  p2,  m1
p2m1_c2.out,  p2m1,5000,2,uneven,ideal ,0.822,  p2,  m1
p2m1_c3.out,  p2m1,5000,3,uneven,ideal ,0.833,  p2,  m1
p2m1_c4.out,  p2m1,5000,4,uneven,ideal ,0.837,  p2,  m1
p2m1_c5.out,  p2m1,5000,5,uneven,ideal ,0.828,  p2,  m1
p2m2_c2.out,  p2m2,1000,2,even,ideal ,0.862,  p2,  m2
p2m2_c3.out,  p2m2,1000,3,even,ideal ,0.862,  p2,  m2
p2m2_c4.out,  p2m2,1000,4,even,ideal ,0.868,  p2,  m2
p2m2_c5.out,  p2m2,1000,5,even,ideal ,0.827,  p2,  m2
p2m2_c2.out,  p2m2,200,2,even,ideal ,0.907,  p2,  m2
p2m2_c3.out,  p2m2,200,3,even,ideal ,0.922,  p2,  m2
p2m2_c4.out,  p2m2,200,4,even,ideal ,0.885,  p2,  m2
p2m2_c5.out,  p2m2,200,5,even,ideal ,0.914,  p2,  m2
p2m2_c2.out,  p2m2,500,2,even,ideal ,0.831,  p2,  m2
p2m2_c3.out,  p2m2,500,3,even,ideal ,0.855,  p2,  m2
p2m2_c4.out,  p2m2,500,4,even,ideal ,0.855,  p2,  m2
p2m2_c5.out,  p2m2,500,5,even,ideal ,0.878,  p2,  m2
p2m2_c2.out,  p2m2,5000,2,even,ideal ,0.842,  p2,  m2
p2m2_c3.out,  p2m2,5000,3,even,ideal ,0.864,  p2,  m2
p2m2_c4.out,  p2m2,5000,4,even,ideal ,0.856,  p2,  m2
p2m2_c5.out,  p2m2,5000,5,even,ideal ,0.862,  p2,  m2
p2m2_c2.out,  p2m2,1000,2,uneven,ideal ,0.866,  p2,  m2
p2m2_c3.out,  p2m2,1000,3,uneven,ideal ,0.853,  p2,  m2
p2m2_c4.out,  p2m2,1000,4,uneven,ideal ,0.872,  p2,  m2
p2m2_c5.out,  p2m2,1000,5,uneven,ideal ,0.896,  p2,  m2
p2m2_c2.out,  p2m2,200,2,uneven,ideal ,0.955,  p2,  m2
p2m2_c3.out,  p2m2,200,3,uneven,ideal ,0.901,  p2,  m2
p2m2_c4.out,  p2m2,200,4,uneven,ideal ,0.876,  p2,  m2
p2m2_c5.out,  p2m2,200,5,uneven,ideal ,0.927,  p2,  m2
p2m2_c2.out,  p2m2,500,2,uneven,ideal ,0.841,  p2,  m2
p2m2_c3.out,  p2m2,500,3,uneven,ideal ,0.834,  p2,  m2
p2m2_c4.out,  p2m2,500,4,uneven,ideal ,0.848,  p2,  m2
p2m2_c5.out,  p2m2,500,5,uneven,ideal ,0.874,  p2,  m2
p2m2_c2.out,  p2m2,5000,2,uneven,ideal ,0.854,  p2,  m2
p2m2_c3.out,  p2m2,5000,3,uneven,ideal ,0.845,  p2,  m2
p2m2_c4.out,  p2m2,5000,4,uneven,ideal ,0.861,  p2,  m2
p2m2_c5.out,  p2m2,5000,5,uneven,ideal ,0.807,  p2,  m2
